# File Name: robot_test_1.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272530695
# Instrument Serial Number: 272530695
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2024-02-07 08:52:38 PM UTC
# Run End Data/Time: 2024-02-07 10:38:34 PM UTC
# Run Duration: 105 minutes 56 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-02-13 04:25:06 AM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-02-13 04:26:16 AM UTC
"Well","Well Position","Cycle Number","Stage Number"
"1","A1","1","2"
"1","A1","2","2"
"1","A1","3","2"
"1","A1","4","2"
"1","A1","5","2"
"1","A1","6","2"
"1","A1","7","2"
"1","A1","8","2"
"1","A1","9","2"
"1","A1","10","2"
"1","A1","11","2"
"1","A1","12","2"
"1","A1","13","2"
"1","A1","14","2"
"1","A1","15","2"
"1","A1","16","2"
"1","A1","17","2"
"1","A1","18","2"
"1","A1","19","2"
"1","A1","20","2"
"1","A1","21","2"
"1","A1","22","2"
"1","A1","23","2"
"1","A1","24","2"
"1","A1","25","2"
"1","A1","26","2"
"1","A1","27","2"
"1","A1","28","2"
"1","A1","29","2"
"1","A1","30","2"
"1","A1","31","2"
"1","A1","32","2"
"1","A1","33","2"
"1","A1","34","2"
"1","A1","35","2"
"1","A1","36","2"
"1","A1","37","2"
"1","A1","38","2"
"1","A1","39","2"
"1","A1","40","2"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"1","A1","1","3"
"2","A2","1","2"
"2","A2","2","2"
"2","A2","3","2"
"2","A2","4","2"
"2","A2","5","2"
"2","A2","6","2"
"2","A2","7","2"
"2","A2","8","2"
"2","A2","9","2"
"2","A2","10","2"
"2","A2","11","2"
"2","A2","12","2"
"2","A2","13","2"
"2","A2","14","2"
"2","A2","15","2"
"2","A2","16","2"
"2","A2","17","2"
"2","A2","18","2"
"2","A2","19","2"
"2","A2","20","2"
"2","A2","21","2"
"2","A2","22","2"
"2","A2","23","2"
"2","A2","24","2"
"2","A2","25","2"
"2","A2","26","2"
"2","A2","27","2"
"2","A2","28","2"
"2","A2","29","2"
"2","A2","30","2"
"2","A2","31","2"
"2","A2","32","2"
"2","A2","33","2"
"2","A2","34","2"
"2","A2","35","2"
"2","A2","36","2"
"2","A2","37","2"
"2","A2","38","2"
"2","A2","39","2"
"2","A2","40","2"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"2","A2","1","3"
"3","A3","1","2"
"3","A3","2","2"
"3","A3","3","2"
"3","A3","4","2"
"3","A3","5","2"
"3","A3","6","2"
"3","A3","7","2"
"3","A3","8","2"
"3","A3","9","2"
"3","A3","10","2"
"3","A3","11","2"
"3","A3","12","2"
"3","A3","13","2"
"3","A3","14","2"
"3","A3","15","2"
"3","A3","16","2"
"3","A3","17","2"
"3","A3","18","2"
"3","A3","19","2"
"3","A3","20","2"
"3","A3","21","2"
"3","A3","22","2"
"3","A3","23","2"
"3","A3","24","2"
"3","A3","25","2"
"3","A3","26","2"
"3","A3","27","2"
"3","A3","28","2"
"3","A3","29","2"
"3","A3","30","2"
"3","A3","31","2"
"3","A3","32","2"
"3","A3","33","2"
"3","A3","34","2"
"3","A3","35","2"
"3","A3","36","2"
"3","A3","37","2"
"3","A3","38","2"
"3","A3","39","2"
"3","A3","40","2"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"3","A3","1","3"
"4","A4","1","2"
"4","A4","2","2"
"4","A4","3","2"
"4","A4","4","2"
"4","A4","5","2"
"4","A4","6","2"
"4","A4","7","2"
"4","A4","8","2"
"4","A4","9","2"
"4","A4","10","2"
"4","A4","11","2"
"4","A4","12","2"
"4","A4","13","2"
"4","A4","14","2"
"4","A4","15","2"
"4","A4","16","2"
"4","A4","17","2"
"4","A4","18","2"
"4","A4","19","2"
"4","A4","20","2"
"4","A4","21","2"
"4","A4","22","2"
"4","A4","23","2"
"4","A4","24","2"
"4","A4","25","2"
"4","A4","26","2"
"4","A4","27","2"
"4","A4","28","2"
"4","A4","29","2"
"4","A4","30","2"
"4","A4","31","2"
"4","A4","32","2"
"4","A4","33","2"
"4","A4","34","2"
"4","A4","35","2"
"4","A4","36","2"
"4","A4","37","2"
"4","A4","38","2"
"4","A4","39","2"
"4","A4","40","2"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"4","A4","1","3"
"5","A5","1","2"
"5","A5","2","2"
"5","A5","3","2"
"5","A5","4","2"
"5","A5","5","2"
"5","A5","6","2"
"5","A5","7","2"
"5","A5","8","2"
"5","A5","9","2"
"5","A5","10","2"
"5","A5","11","2"
"5","A5","12","2"
"5","A5","13","2"
"5","A5","14","2"
"5","A5","15","2"
"5","A5","16","2"
"5","A5","17","2"
"5","A5","18","2"
"5","A5","19","2"
"5","A5","20","2"
"5","A5","21","2"
"5","A5","22","2"
"5","A5","23","2"
"5","A5","24","2"
"5","A5","25","2"
"5","A5","26","2"
"5","A5","27","2"
"5","A5","28","2"
"5","A5","29","2"
"5","A5","30","2"
"5","A5","31","2"
"5","A5","32","2"
"5","A5","33","2"
"5","A5","34","2"
"5","A5","35","2"
"5","A5","36","2"
"5","A5","37","2"
"5","A5","38","2"
"5","A5","39","2"
"5","A5","40","2"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
"5","A5","1","3"
